Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
06832X0006/HY;SAINT-VAIZE - La Salle F2 (source);QZ;Saint Vaize;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05222995;L'Ouzente à Saint-Vincent-de-Paul;STQ;Saint Vincent de Paul;l'Ouzente;L'Ouzente;
05144000;Le Tarn à Brousse le Chateau;STQ;Brousse le Château;Le Tarn;Le Tarn du confluent du Dourdou au confluent du Sarlan;
05033521;La Peychay à Ribérac;STQ;Ribérac;La Peychay;La Peychay;
05091640;Le ruisseau de Montmarty au nivea ude Saint Constant;STQ;Saint Constant Fournoulès;Ruisseau de Montmarty;Ruisseau de Montmarty;
05145440;L'Annou à St Jean et St Paul;STQ;Saint Jean et Saint Paul;Ruisseau d'Annou;Ruisseau d'Annou;
09027X0038/HY;DOLMAYRAC - Source du Ratier;QZ;Passage;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05158180;Le Nadalou à Teulat;STQ;Teulat;Le Nadalou;Le Nadalou;
P3035003;Lac des Bariousses;STQL;Treignac;;Lac des Bariousses;
05027040;La Souloire à Arveyres;STQ;Arveyres;La Souloire;La Souloire;
05234287;L'Aube à Hibarette;STQ;Hibarette;l'Aube;L'Aube;
05084550;La Bausse au niveau de Granges-sur-Lot;STQ;Montpezat;La Bausse;La Bausse de sa source au confluent du Lot;
05089950;Le Célé à Cabrerets (Moulin de Cabrerets);STQ;Cabrerets;Le Célé;Le Célé du confluent du Drauzou au confluent du Lot;
05001565;Le Canal de Genouille à Genouille;STQ;Genouillé;Canal de Genouillé;;
05167800;L'Ambrone à Caudeval;STQ;Val de Lambronne;l'Ambrone;L'Ambrone de la commune de Peyrefitte-du-Razès au confluent de l'Hers vif;
05169990;L'Aure au niveau de Saverdun;STQ;Saverdun;l'Aure;L'Aure;
05181800;La Garonne à Valentine;STQ;Saint Gaudens;La Garonne;La Garonne du confluent de la Neste au confluent du Salat;
05155100;La Garenne (Cédat) à Le Castéra;STQ;Castéra;Le Cédat;Le Cédat;
05236300;L'Adour de Payolledans sa partie aval;STQ;Asté;l'Adour;L'Adour de sa source au confluent de la Douloustre (incluse);
05089088;Le Lot à Cahors (Pont Louis philippe );STQ;Cahors;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
05063900;L'Authre en aval de Ytrac;STQ;Ytrac;l'Authre;L'Authre du confluent du Cautrunes au barrage de Saint-étienne-Cantalès;
S4265013;Etang Blanc;STQL;Seignosse;;Étang Blanc;
05096000;La Truyère à Entraygues;STQ;Entraygues sur Truyère;La Truyère;La Truyère du barrage de Couesque au confluent du Lot;
05068950;La Rhue à Condat- en- Feniers;STQ;Condat;Ruisseau Grande Rhue;La Rhue du confluent de l'Espinchal au confluent de la Santoire;
05112150;La Masse d'Agen au confluent avec la Garonne;STQ;Agen;La Masse;La Masse;
05001585;Le canal de l'Unima à Biard;STQ;Saint Hippolyte;Canal du Freussin à la Charente;Canal de l'UNIMA (du Moussard);
08277X0166/F2;LA BREDE - La Sauque F2;QZ;Brède;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05231700;Le Ruisseau du Broussau au niveau d'Aire sur Adour;STQ;Aire sur l'Adour;Ruisseau du Broussau;Ruisseau du Broussau;
05053060;Le Maumont Blanc au niveau de Chanteix;STQ;Chanteix;Le Maumont Blanc;Le Maumont Blanc de sa source au confluent du Chauvignac (inclus);
Q2205013;Barrage de Saint-Jean;STQL;Peyrusse Vieille;;Retenue de Saint-Jean;
05013000;La Charente à Merpins;STQ;Saint Laurent de Cognac;La Charente;La Charente du confluent de la Touvre au confluent du Bramerit;
05151993;La Cézone au niveau de Fajolles;STQ;Coutures;Ruisseau de Cézone;Ruisseau de Cézone;
05183860;L'Ourse à Mauléon-Barousse;STQ;Mauléon Barousse;l'Ourse;L'Ourse de sa source au confluent de la Garonne;
07318X0076/F;FONTAINES-D'OZILLAC - Fief du Breuil F2;QZ;Fontaines d'Ozillac;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05007938;Le Trèfle à Barbezieux-St-Hilaire;STQ;Barbezieux Saint Hilaire;Le Trèfle;Le Trèfle de sa source au confluent de la Seugne;
05086000;Le Lot à Casseneuil;STQ;Casseneuil;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05232300;Le Lees de Lembeye à Conchez de Béarn;STQ;Tadousse Ussau;Le Lées;Le Lées de sa source au confluent de l'Adour;
05011725;Le Né à Pereuil;STQ;Val des Vignes;Le Né;Le Né du confluent du Chavernut au confluent de la Fontaine de Bagot (incluse);
07072X0005/HY;LA JARD - Font Roman (source);QZ;Jard;;Calcaires et calcaires marneux du santonien-campanien BV Charente-Gironde;
05109900;La Sole à Larroque;STQ;Larroque;La Sole;La Sole;
05068986;La Grolle à Marchastel;STQ;Marchastel;La Grolle;La Grolle;
05056700;La Vézère à l'aval de Vigeois;STQ;Vigeois;La Vézère;La Vézère du confluent du Bradascou au confluent du Brézou;
05069750;Le Ruisseau Béal des Roziers au niveau de Messeix;STQ;Messeix;Ruisseau Béal des Roziers;Ruisseau Béal des Roziers;
05061850;La Dordogne à Prudhomat;STQ;Prudhomat;La Dordogne;La Dordogne du confluent de la Cère au confluent du Tournefeuille;
05061240;La Doue en amont de Martel;STQ;Martel;Le Vignon;Le Vignon;
05051200;La Vézère à Condat sur Vézère;STQ;Condat sur Vézère;La Vézère;La Vézère du confluent de l'Elle au confluent de la Dordogne;
09567X0461/F;GRENADE - Le Jagan;QZ;Grenade;;;
05206750;Le Gave d'Aspe à Ponsuzou;STQ;Osse en Aspe;Gave d'Aspe;Le Gave d'Aspe du confluent du Gave de Lescun au confluent du Gave d'Ossau;
05183530;La Neste du Louron à Armenteule;STQ;Adervielle Pouchergues;La Neste du Louron;La Neste de Clarabide (du Louron) du confluent du Bayet (inclus) au confluent de la Neste;
07578X0038/P;VILLETOURIEX - Aux petits Près;QZ;Villetoureix;;Alluvions de l' Isle et de la Dronne;
05014060;Le ruisseau des Liauds à Champmillon;STQ;Champmillon;Non nommé;;
05091592;La Rance au niveau de Lacapelle-del-Fraisse;STQ;Lacapelle del Fraisse;;;
05062015;La Biarque au niveau de Bannes;STQ;Bannes;La Biarque;La Biarque;
05024994;Le Bertu à Medis;STQ;Médis;Le Bertu;Le Bertu;
05025940;La Laurence à St-Sulpice-et-Cameyrac;STQ;Saint Sulpice et Cameyrac;La Laurence;La Laurence;
05021750;Le Nauzon à Champniers-et-Reilhac;STQ;Saint Mathieu;Le Nauzon;Le Nauzon;
05183500;La Neste d'Aure à Camous;STQ;Camous;La Neste;La Neste du confluent de la Neste de Clarabide (Louron) au confluent de la Garonne;
05161950;Le Touch à St-Michel du Touch;STQ;Blagnac;Le Touch;Le Touch de sa source au confluent de la Garonne;
05142520;Le Ruisseau de la Broncarié au niveau d'Ambialet;STQ;Courris;Ruisseau de la Broncarié;Ruisseau de la Broncarié;
07577X0022/F;SAINT-ANTOINE-CUMOND - Le Grand Champ;QZ;Saint Antoine Cumond;;Calcaires et sables du turonien coniacien captif nord-aquitain;
05125430;Le Fouquet au niveau de Durenque;STQ;Durenque;Le Fouquet;Le Fouquet de sa source au confluent du Giffou;
06363X0016/HYD;ST-GENARD - Source de Marcillé;QZ;Saint Génard;;Calcaires du jurassique moyen  du BV de la Boutonne secteur hydro r6;
05033800;La Côle au niveau de Condat sur Trincou;STQ;Condat sur Trincou;La Côle;La Côle du confluent de la Queue d'Ane au confluent de la Dronne;
05001530;Le Canal de la Daurade à Loire-les-Marais;STQ;Tonnay Charente;Canal de la Daurade;;
05134400;Le Sor en aval de Revel;STQ;Revel;Le Sor;Le Sor du lac des Cammazes au confluent de l'Agout;
05004250;La Brédoire au niveau de Nuaille sur Boutonne;STQ;Nuaillé sur Boutonne;La Brédoire;La Brédoire;
05084850;Le Lot en amont de Ste-Livrade-sur-Lot;STQ;Sainte Livrade sur Lot;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05063850;L'Authre au Pont du Jallès;STQ;Lacapelle Viescamp;l'Authre;L'Authre du confluent du Cautrunes au barrage de Saint-étienne-Cantalès;
05144500;Le Dourdou en aval de Saint Izaire;STQ;Broquiès;Le Dourdou;Le Dourdou du confluent du Nuéjouls au confluent du Tarn;
05044950;Le Canaudonne à Espiet;STQ;Espiet;Ruisseau de Pont Ribeau;;
08847X0004/HY;Source Milhac (Le VIDAL-12);QZ;Vibal;;Socle BV Aveyron secteur hydro o5;
05134430;Le Sor en aval de Durfort;STQ;Sorèze;Le Sor;Le Sor du lac des Cammazes au confluent de l'Agout;
05155000;La Save à Grenade;STQ;Grenade;La Save;La Save du confluent de l'Aussoue au confluent de la Garonne;
05183900;La Garonne en aval de la Pique;STQ;Chaum;La Garonne;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;
05111039;La Baïse Darré au niveau de Campistrous;STQ;Campistrous;La Baise Darré;La Baise Darré;
05093560;Le Riou Mort (Amont immédiat du Riou Viou);STQ;Viviez;Riou Mort;Le Riou Mort de sa source au confluent du Lot;
05158090;Le ruisseau de Laragou à Bonrepos-Riquet;STQ;Bonrepos Riquet;Ruisseau de Laragou;;
05179500;Le Lez à Saint-Girons;STQ;Saint Girons;Le lez;Le Lez du confluent de la Bouigane au confluent du Salat;
05092975;La Diège à Naussac;STQ;Naussac;La Diège;La Diège de sa source au confluent du Lot;
05101900;Le Lot en amont de Barjac;STQ;Barjac;Le Lot;Le Lot du confluent du Bramont au confluent du Doulou;
05011000;Le Né à Saint Fort;STQ;Cierzac;Le Né;Le Né du confluent de la Fontaine de Bagot au confluent de la Charente;
10263X0014/ERH;Source socory - Ascain;QZ;Ascain;;Terrains plissés BV Nive, Nivelle, Bidouze secteurs hydro q8, q9, s5 (+q3 et s4 marginal);
09507X0042/F3;SAINT-GEOURS-D'AURIBAT - Bern, Haille (captif) D26;QZ;Saint Geours d'Auribat;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05060200;L'Enéa à Carsac-Aillac;STQ;Carsac Aillac;Ruisseau d'Enéa;L'Enéa de sa source au confluent de la Dordogne;
08977X0036/P;MIMIZAN - Route d'Escource (libre) Q94;QZ;Mimizan;;Sables plio-quaternaires des bassins côtiers région hydro s et terrasses anciennes de la Gironde;
05157360;L'Hers Mort à l'aval de Castanet;STQ;Labège;l'Hers;L'Hers Mort du confluent du Marès au confluent de la Garonne;
05086260;La Tancanne en aval d'Auradou;STQ;Auradou;La Tancanne;La Tancanne de sa source au confluent du Boudouyssou;
05060960;La Dordogne au niveau de Souillac;STQ;Lanzac;La Dordogne;La Dordogne du confluent de la Cère au confluent du Tournefeuille;
O6845003;Barrage de la Baradée;STQL;Bassoues;;Retenue de la Baradée;
09357X0022/HY;SAINTE EULALIE DE CERNON - Le CERNON -S70;QZ;Sainte Eulalie de Cernon;;Calcaires des grands Causses BV Tarn;
O60-4003;Barrage-réservoir de l'Astarac;STQL;Aussos;;Barrage-réservoir de l'Astarac;
08326X0004/HY;BOUZIC - Fontaine De Bouzic, Trou du vent;QZ;Bouzic;;Calcaires et marnes du jurassique sup du BV de la Dordogne secteur hydro p2;
09577X0088/F;SAINT SULPICE- Puits jardin;QZ;Saint Sulpice la Pointe;;Alluvions du Tarn, du Dadou et de l'Agout secteurs hydro o3-o4;
P01-5053;Retenue de Bort-les-Orgues;STQL;Monestier Port Dieu;;Retenue de Bort-les-Orgues;
05142000;Le Tarn à l'aval d'Albi (Au niveau de Terssac);STQ;Castelnau de Lévis;Le Tarn;Le Tarn du confluent du Sarlan (inclus) au confluent du Mérigot (inclus);
05157750;L'Hers Mort à Renneville;STQ;Renneville;l'Hers;L'Hers Mort de sa source au confluent du Marès;
05068983;Le ruisseau de Ronzaine à Lugarde;STQ;Lugarde;Ruisseau de Ronzaine;;
05230000;Le Gabas au niveau de Montaut;STQ;Saint Sever;Le Gabas;Le Gabas du barrage du Gabas au confluent de l'Adour;
05068935;La Grande Rhue à Condat;STQ;Condat;Ruisseau Grande Rhue;La Rhue du confluent de l'Espinchal au confluent de la Santoire;
05035212;La Malencourie à St-Saud-Lacoussière;STQ;Saint Saud Lacoussière;Ruisseau de la Malincourie;Ruisseau de la Malincourie;
05167000;La Vixiège à Belpech;STQ;Belpech;La Vixiège;La Vixiège de sa source au confluent de l'Hers vif;
05116500;La Séoune à Belvèze;STQ;Belvèze;La Séoune;La Séoune de sa source au confluent du Gers;
09061X0005/HY;PARISOT - Source de Labro;QZ;Parisot;;Calcaires, dolomies et grés du lias BV de l'Aveyron secteur hydro o5;
10293X0151/F;ARTIGUELOUVE;QZ;Artiguelouve;;Alluvions du gave de Pau;
05226050;Le Géloux à Garein;STQ;Garein;Ruisseau de Geloux;Ruisseau de Geloux;
05228600;La Douze au niveau de Manciet;STQ;Sainte Christie d'Armagnac;La Douze;La Douze du barrage de Saint-Jean au confluent de l'Estampon;
O5985003;Lac des Fourrières;STQL;Castelsarrasin;;;
10294X0129/F;LESCAR;QZ;Lescar;;Alluvions du gave de Pau;
05162624;Le Touch au niveau de Fabas;STQ;Fabas;Le Touch;Le Touch de sa source au confluent de la Garonne;
10343X0102/S;NOE - Route de Noé;QZ;Noé;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05035260;La Dronne à Mialet (aval);STQ;Mialet;La Dronne;La Dronne de sa source au confluent du Manet (inclus);
05004255;La Brédoire;STQ;Aulnay;La Brédoire;La Brédoire;
05079100;Le Dropt à Loubens;STQ;Saint Martin de Lerm;Le Dropt;Le Dropt du confluent de l'Escourou au confluent de la Garonne;
05232980;Le Saget au niveau de St Mont;STQ;Saint Mont;Le Saget;Le Saget de sa source au confluent de l'Adour;
05157625;La Tésauque au niveau de Montesquieu Lauragais;STQ;Montesquieu Lauragais;La Tésauque;La Tésauque;
05207030;Le Gave d'Ossau à Arudy;STQ;Arudy;Gave d'Oloron;Le Gave d'Ossau du confluent du Lau au confluent du Gave d'Aspe;
05068260;La Dordogne à l'aval de la Souvigne;STQ;Monceaux sur Dordogne;La Dordogne;La Dordogne du barrage d'Argentat au confluent de la Cère;
05033685;Le Belaygue au niveau de St Julien de Bourdeilles;STQ;Gonterie Boulouneix;Le Belaygue;Le Belaygue;
05038050;Le Vern à Neuvic;STQ;Neuvic;Le Vern;Le Vern de sa source au confluent de l'Isle;
05035300;La Dronne au niveau de Dournazac;STQ;Dournazac;La Dronne;La Dronne de sa source au confluent du Manet (inclus);
05157680;La Rigole du Canal du midi au niveau de Montferrand;STQ;Montferrand;Rigole du Canal Midi;Rigole du Canal du Midi;
05218200;Le Gave de Pau à Villelongue (Lieu-dit Couscouillet);STQ;Villelongue;Gave de Pau;La Gave de Pau du confluent du Pailla au confluent du Gave de Cauterets;
05150000;Le Tarn à Montbrun;STQ;Montbrun;Le Tarn;Le Tarn du confluent du Tarnon au confluent du Valat de la Combe (inclus);
10343X0099/F;NOE - La Bourdasse;QZ;Noé;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
05111390;La Baïse à Montaut;STQ;Montaut;La Baise;La Baïse du confluent du Lizon au confluent de la Baïsole;
05120025;Le Longue Aygues à Négrepelisse;STQ;Nègrepelisse;Ruisseau de Longues Aygues;Ruisseau de Longues Aygues;
05003900;La Guillotière à Loiré-sur-Nie;STQ;Loiré sur Nie;La Guillotière;La Guillotière;
05030700;La Mame au niveau de St Aigulin;STQ;Saint Aigulin;La Mame;La Mame de sa source au confluent de la Dronne;
05011620;Le Neuf Fonts à St Médard;STQ;Saint Médard;Le Beau;Le Beau;
05068905;Le Ruisseau de Gabacut au niveau de Trémouille;STQ;Trémouille;Ruisseau de Gabacut;Ruisseau de Gabacut;
06831X0035/F;TAILLEBOURG - Plantis du Péré;QZ;Taillebourg;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien libre;
05033300;La Manore à Edon;STQ;Edon;La Manore;La Manore;
09525X0006/PUITS;St Gein - CAPTAGE DES ARBOUTS;QZ;Saint Gein;;Sables fauves BV Adour région hydro q;
05127470;La Brianelle au Monastère;STQ;Monastère;La Brianelle;La Brianelle;
05022250;Le Son-Sonnette à Saint-Front;STQ;Saint Front;La Son-Sonnette;Le Son-Sonnette de sa source au confluent de la Charente;
05033190;Le Roncenac au niveau de Gurat;STQ;Gurat;Le Roncenac;Le Roncenac;
05053930;La Roanne au niveau de Beynat;STQ;Beynat;La Roanne;La Roanne de sa source au confluent de la Vianne;
05118750;L'Arrats au niveau de Sere;STQ;Sère;l'Arrats;L'Arrats du barrage-réservoir de l'Astarac au confluent de la Garonne;
06832X0008/FONT;JUICQ - Bois Moreau (forage);QZ;Juicq;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05042074;La Valentine à Coussac Bonneval;STQ;Coussac Bonneval;La Valentine;La Valentine;
05125300;Le Lieux de Naucelle en aval de Naucelle;STQ;Naucelle;Le Lieux;Le Lieux;
05205000;Le Gave d'Oloron en aval d'Oloron;STQ;Oloron Sainte Marie;Gave d'Oloron;Le Gave d'Oloron du confluent du Gave d'Aspe au confluent du Saison;
05005610;La Légère à St-Faziol;STQ;Pouffonds;La Légère;La Légère;
05043050;La Haute-loue à Lanouaille;STQ;Lanouaille;La Haute-Loue;La Haute-Loue;
05055900;La Loyre au lieu-dit Chassagnac;STQ;Saint Viance;La Loyre;La Loyre du confluent des Planches au confluent de la Vézère;
09006X0051/F;Bourriot - Navarrine- Q27;QZ;Bourriot Bergonce;;Grés, calcaires et sables de l'Hévétien (miocène) captif;
05157200;La Saune à Quint-Fonsegrives;STQ;Quint Fonsegrives;La Saune;La Saune;
05125858;Le ruisseau d'Estache  au niveau de Ségur;STQ;Ségur;Ruisseau d'Estache;Ruisseau d'Estache;
05023955;La Charente au niveau de Charroux;STQ;Charroux;La Charente;La Charente du confluent du Merdanèon au confluent de la Tardoire;
05213000;Le Gave de Pau à Mourenx;STQ;Pardies;Gave de Pau;Le Gave de Pau du confluent du bras du Gave au confluent du Clamondé;
08974X0011/F;Pontenx Les forges - Forage Menaut -Q31;QZ;Pontenx les Forges;;Calcaires et sables de l'oligocène à l'ouest de la Garonne;
05220000;Le Luy de Béarn à Amou;STQ;Amou;Le Luy du Béarn;Le Luy de Béarn de sa source au confluent du Luy de France;
05007550;Le Bras de la Seugne au niveau de Courcoury;STQ;Courcoury;Bras de la Seugne à la Charente;;
05091575;Le ruisseau de Fargues au niveau de Vitrac;STQ;Vitrac;Ruisseau de Fargues;;
08778X0012/F;AIGUILLON - Station de pompage Christian;QZ;Aiguillon;;Alluvions du Lot;
05238450;L'Untxin à Urrugne (Pont du cc Château d'Urtubieà Urrugne);STQ;Urrugne;Fleuve Untxin;L'Untxin de sa source à l'océan;
05170750;Le Crieu au niveau de Saverdun;STQ;Saverdun;Le Crieu;Le Crieu du lieu-dit la Grapide au confluent de l'Ariège;
05101200;La Colagne en aval de Marvejols;STQ;Bourgs sur Colagne;La Colagne;La Colagne du confluent du Coulagnet au confluent du Lot;
05062010;La Bave en amont de Saint Céré;STQ;Saint Céré;La Bave;La Bave du confluent du Tolerme au confluent de la Dordogne;
05011721;Le ruisseau la Gorre à Berneuil;STQ;Berneuil;La Maurie;;
05083575;Le Ruisseau de Pichagouille au Mas d'Agenais;STQ;Mas d'Agenais;Ruisseau de Pichagouille;Ruisseau de Pichagouille;
05011600;Le Beau à Saint-Médard;STQ;Saint Médard;Le Beau;Le Beau;
05231390;Le Lourden au niveau de Renung;STQ;Renung;Le Lourden;Le Lourden;
05111602;Le Petit Auvignon au niveau de Montagnac sur Auvignon;STQ;Montagnac sur Auvignon;Le Petit Auvignon;Le petit Auvignon de sa source au confluent de l'Auvignon;
P15-5023;Barrage de Hautefage;STQL;Sexcles;;Retenue de Hautefage;
10577X0138/F;SAINT-JEAN-DU-FALGA - Puits de Pic;QZ;Saint Jean du Falga;;Alluvions de l'Ariège et affluents;
05157365;L'Hers-Mort à Labège;STQ;Labège;l'Hers;L'Hers Mort du confluent du Marès au confluent de la Garonne;
05063800;La Cère en aval de Laroquebrou;STQ;Siran;La Cère;La Cère du barrage de Saint-étienne-Cantalès au confluent de l'Escalmels;
06617X0008/HY;MOUTONNEAU - Source de la Mouviere;QZ;Moutonneau;;Calcaires du jurassique moyen  en rive droite de la Charente amont;
05007930;Le Trèfle au niveau d'Allas Champagne;STQ;Allas Champagne;Le Trèfle;Le Trèfle de sa source au confluent de la Seugne;
05165890;La Jade au niveau de Cintegabelle;STQ;Cintegabelle;La Jade;La Jade;
05176170;L'Arize au niveau du Mas d'Azil;STQ;Mas d'Azil;l'Arize;L'Arize de sa source au confluent du Pujol;
10305X0228/F;BOEIL-BEZING;QZ;Boeil Bezing;;Alluvions du gave de Pau;
05096370;Le Vezou à Paulhenc;STQ;Paulhenc;Le Vezou;Le Vezou;
05003780;Le Loubat à St-Jean-d'Y;STQ;Saint Jean d'Angély;Le Loubat;Le Loubat;
O8455023;Lac de Catus;STQL;Catus;;;
05170900;L'Ariège à Le Vernet d'Ariège;STQ;Vernet;l'Ariège;L'Ariège du confluent du Vernajoul (Fajal) au confluent de l'Hers vif;
05191600;Le ruisseau de Paillasse à Belin-Béliet (aval restitution);STQ;Belin Béliet;Ruisseau de Paillasse;Ruisseau de Paillasse;
05068032;La Glane de Saint-Privat à Saint-Privat;STQ;Saint Privat;La Glane de Saint-Privat;La Glane de Saint-Privat;
