"Code Sandre 
du paramètre";Libellé du paramètre;Fraction support à analyser;"Limite 
quantification
(LQ)";"Libellé
Unité";;
1208;Isoproturon;Eau brute;0,02;µg/l;;
1382;Plomb et ses composés;Phase aqueuse de l'eau (filtrée, centrifugée...);0,4;µg/l;;
1387;Mercure et ses composés;Phase aqueuse de l'eau (filtrée, centrifugée...);0,015;µg/l;;
1517;Naphtalène;Eau brute;0,05;µg/l;;
1386;Nickel et ses composés;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1958;Nonylphénols (4-nonylphénol);Eau brute;0,03;µg/l;;
1959;Octylphénols (4-1,1',3,3'-tétraméthylbutylphénol);Eau brute;0,03;µg/l;;
1888;Pentachlorobenzène;Eau brute;0,002;µg/l;;
1235;Pentachlorophénol;Eau brute;0,05;µg/l;;
1115;Benzo(a)pyrène;Eau brute;0,01;µg/l;;
1263;Simazine;Eau brute;0,01;µg/l;;
1272;Tétrachloroéthylène;Eau brute;0,5;µg/l;;
1286;Trichloroéthylène;Eau brute;0,5;µg/l;;
2879;Composés du tributylétain (Tributylétain cation);Eau brute;0,002;µg/l;;
1774;Trichlorobenzène;Eau brute;0,15;µg/l;;
1283;Trichlorobenzène-1,2,4;Eau brute;0,05;µg/l;;
1629;Trichlorobenzène-1,3,5;Eau brute;0,05;µg/l;;
1630;Trichlorobenzène-1,2,3;Eau brute;0,05;µg/l;;
1135;Trichlorométhane;Eau brute;0,5;µg/l;;
1289;Trifluraline;Eau brute;0,01;µg/l;;
1172;Dicofol;Eau brute;0,01;µg/l;;
6561;Acide perfluorooctanesulfonique et ses dérivés (perfluorooctanesulfonate PFOS);Eau brute;0,01;µg/l;;
2028;Quinoxyfène;Eau brute;0,03;µg/l;;
1688;Aclonifène;Eau brute;0,03;µg/l;;
1119;Bifénox;Eau brute;0,01;µg/l;;
1935;Cybutryne;Eau brute;0,001;µg/l;;
1140;Cyperméthrine;Eau brute;0,02;µg/l;;
1170;Dichlorvos;Eau brute;0,01;µg/l;;
1197;Heptachlore;Eau brute;0,01;µg/l;;
1748;Heptachlore époxyde exo cis;Eau brute;0,01;µg/l;;
1749;Heptachlore époxyde endo trans;Eau brute;0,01;µg/l;;
1269;Terbutryne;Eau brute;0,01;µg/l;;
1209;Linuron;Eau brute;0,03;µg/l;;
1084;Cyanures libres;Eau brute;0,2;µg/l;;
1129;Carbendazime;Eau brute;0,005;µg/l;;
1221;Métolachlore;Eau brute;0,01;µg/l;;
1376;Antimoine;Phase aqueuse de l'eau (filtrée, centrifugée...);0,5;µg/l;;
1385;Sélénium;Phase aqueuse de l'eau (filtrée, centrifugée...);0,5;µg/l;;
1394;Manganèse;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1414;Propyzamide;Eau brute;0,01;µg/l;;
1700;Fenpropidine;Eau brute;0,03;µg/l;;
1709;Piperonyl butoxyde;Eau brute;0,005;µg/l;;
1903;Acétochlore;Eau brute;0,005;µg/l;;
2766;Bisphenol A;Eau brute;0,02;µg/l;;
5296;Carbamazepine;Eau brute;0,005;µg/l;;
5325;Diisobutyl phthalate;Eau brute;0,5;µg/l;;
5349;Diclofénac;Eau brute;0,01;µg/l;;
5350;Ibuprofène;Eau brute;0,01;µg/l;;
5353;Ketoprofene;Eau brute;0,01;µg/l;;
5354;Paracétamol;Eau brute;0,025;µg/l;;
5356;Sulfamethoxazole;Eau brute;0,005;µg/l;;
5375;Oxazepam;Eau brute;0,005;µg/l;;
5430;Triclosan;Eau brute;0,05;µg/l;;
6219;Perchlorate;Eau brute;0,3;µg/l;;
6533;Ofloxacine;Eau brute;0,01;µg/l;;
6644;Ethylparaben;Eau brute;0,01;µg/l;;
6693;Propylparaben;Eau brute;0,01;µg/l;;
6695;Methylparaben;Eau brute;0,01;µg/l;;
6725;Carbamazepine époxide;Eau brute;0,001;µg/l;;
6853;Métolachlore OXA;Eau brute;0,01;µg/l;;
6854;Métolachlore ESA;Eau brute;0,01;µg/l;;
1108;Atrazine déséthyl;Eau brute;0,01;µg/l;;
1109;Atrazine déisopropyl;Eau brute;0,01;µg/l;;
1125;Bromoxynil;Eau brute;0,03;µg/l;;
1175;Diméthoate;Eau brute;0,03;µg/l;;
1261;Pyrimiphos-méthyl;Eau brute;0,03;µg/l;;
1268;Terbuthylazine;Eau brute;0,02;µg/l;;
1271;Tétrachloroéthane-1,1,2,2;Eau brute;0,05;µg/l;;
1285;Trichloroéthane-1,1,2;Eau brute;0,5;µg/l;;
1361;Uranium;Phase aqueuse de l'eau (filtrée, centrifugée...);0,1;µg/l;;
1364;Lithium;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1368;Argent;Phase aqueuse de l'eau (filtrée, centrifugée...);0,01;µg/l;;
1370;Aluminium;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1373;Titane;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1377;Béryllium;Phase aqueuse de l'eau (filtrée, centrifugée...);0,04;µg/l;;
1379;Cobalt;Phase aqueuse de l'eau (filtrée, centrifugée...);0,5;µg/l;;
1380;Etain;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1384;Vanadium;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1393;Fer;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1395;Molybdène;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1396;Baryum;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1406;Lénacile;Eau brute;0,03;µg/l;;
1480;Dicamba;Eau brute;0,03;µg/l;;
1489;Phtalate de diméthyle;Eau brute;0,2;µg/l;;
1494;Epichlorohydrine;Eau brute;0,1;µg/l;;
1498;Dibromoéthane-1,2;Eau brute;0,1;µg/l;;
1510;Mercaptodiméthur;Eau brute;0,005;µg/l;;
1512;Méthyl tert-butyl Ether;Eau brute;0,5;µg/l;;
1528;Pirimicarbe;Eau brute;0,03;µg/l;;
1530;Bromure de méthyle;Eau brute;0,5;µg/l;;
1578;Dinitrotoluène-2,4;Eau brute;1;µg/l;;
1586;Dichloroaniline-3,4;Eau brute;0,015;µg/l;;
1638;Méthylphénol-4;Eau brute;0,1;µg/l;;
1640;Méthylphénol-2;Eau brute;0,1;µg/l;;
1650;Chlorophénol-4;Eau brute;0,05;µg/l;;
1675;Flurochloridone;Eau brute;0,02;µg/l;;
1678;Diméthénamide;Eau brute;0,03;µg/l;;
1744;Epoxiconazole;Eau brute;0,03;µg/l;;
1753;Chlorure de vinyle;Eau brute;0,1;µg/l;;
1830;Atrazine déisopropyl déséthyl;Eau brute;0,03;µg/l;;
1929;1-(3,4-dichlorophenyl)-3-methyl-uree;Eau brute;0,02;µg/l;;
1945;Isoxaflutole;Eau brute;0,02;µg/l;;
2023;Flumioxazine;Eau brute;0,03;µg/l;;
2555;Thallium;Phase aqueuse de l'eau (filtrée, centrifugée...);0,2;µg/l;;
2614;Nitrobenzène;Eau brute;0,1;µg/l;;
3159;Atrazine 2-hydroxy-desethyl;Eau brute;0,03;µg/l;;
5347;Acide perfluoro-octanoïque;Eau brute;0,01;µg/l;;
5369;Acide fénofibrique;Eau brute;0,005;µg/l;;
5396;Estrone;Eau brute;0,001;µg/l;;
5978;Acide perfluoro-n-hexanoaque;Eau brute;0,01;µg/l;;
6830;Acide sulfonique de perfluorohexane;Eau brute;0,01;µg/l;;
1278;Toluène;Eau brute;0,5;µg/l;;
1847;Phosphate de tributyle;Eau brute;0,1;µg/l;;
1780;Xylène;Eau brute;0,3;µg/l;;
1292;Xylène - ortho;Eau brute;0,1;µg/l;;
2925;Xylène - méta + para;Eau brute;0,2;µg/l;;
1462;n-Butyl Phtalate;Eau brute;0,2;µg/l;;
1527;Diéthyl phtalate;Eau brute;0,05;µg/l;;
6755;Metformine;Eau brute;0,005;µg/l;;
6870;2-(3-trifluoromethylphenoxy)nicotinamide;Eau brute;0,01;µg/l;;
6989;Triclocarban;Eau brute;0,02;µg/l;;
1465;Acide monochloroacétique;Eau brute;0,5;µg/l;;
1577;Dinitrotoluène-2,6;Eau brute;0,5;µg/l;;
1924;Butyl benzyl phtalate;Eau brute;0,2;µg/l;;
5400;Noréthindrone;Eau brute;0,001;µg/l;;
6733;Cyclophosphamide;Eau brute;0,001;µg/l;;
6842;Carboxy-ibuprofène;Eau brute;0,1;µg/l;;
7011;1-Hydroxy Ibuprofène;Eau brute;0,01;µg/l;;
7594;Bisphenol S;Eau brute;0,02;µg/l;;
1390;Cyanures totaux;Eau brute;5;µg/l;;
1537;Pyrène;Eau brute;0,01;µg/l;;
1549;Trichlorophénol-2,4,6;Eau brute;0,1;µg/l;;
7074;Dibutylétain;Eau brute;0,02;µg/l;;
1493;EDTA;Eau brute;10;µg/l;;
6856;Acetochlor ESA;;;;;
6862;Acetochlor OXA;;;;;
6883;Acetochlor SAA;;;Fait à                  ;;
6800;AlachlorESA;;;le ;;
6855;AlachlorOXA;;;;;
1832;2-hydroxy atrazine;;;par (nom du candidat);;
1930;3,4-dichlorophénylurée;;;;;
1932;4-isopropylaniline;;;;;
2738;Desmethylisoproturon;;;;;
6894;Metazachlor OXA;;;;;
6895;Metazachlor ESA;;;;;
1831;Simazine-hydroxy;;;;;
3160;Atrazine déisopropyl-2-hydroxy;;;;;
1943;2,6-diethylaniline;;;;;
1954;HYDROXYTERBUTHYLAZINE;;;;;
2045;Terbuthylazine désethyl;;;;;
5750;Desethylterbutylazine-2-hydroxy;;;;;
1666;Oxadixyl;;;;;
1796;Métaldéhyde;;;;;
1673;Hexazinone;;;;;
1284;1,1,1-trichloroéthane;;;;;
5977;Acide perfluoro-n-heptanoïque (PFHpA);;;;;
6550;Acide perfluorodecane sulfonique (PFDS);;;;;
6660;Tolyltriazole;;;;;
7543;Benzotriazole;;;;;
1474;Chlorprophame;;;;;
1141;2,4-D;;;;;
1206;Iprodione;;;;;
1253;Prochloraz;;;;;
1359;Cyprodinil;;;;;
1814;Diflufenicanil;;;;;
1951;AZOXYSTROBINE;;;;;
5526;Boscalid;;;;;
1210;Malathion;;;;;
1694;Tébuconazole;;;;;
1877;Imidaclopride;;;;;
2610;4-tert-butylphénol;;;;;
1738;Dibromoacétonitrile;;;;;
2566;1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxine;;;;;
2575;1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxine;;;;;
2596;1,2,3,4,6,7,8-Heptachlorodibenzofurane;;;;;
2597;1,2,3,4,7,8,9-Heptachlorodibenzofurane;;;;;
5248;Octachlorodibenzofuranne;;;;;
6618;Galaxolide;;;;;
6520;Cotinine;;;;;
2013;Anthraquinone;;;;;
1122;Bromoforme;;;;;
1167;Dichloromonobromométhane;;;;;
1456;Dichloroéthylène-1,2 cis;;;;;
2773;Diméthylamine;;;;;
2962;Hydrocarbures dissous;;;;;
1116;Benzo(b)fluoranthène;;;;;
1204;Indéno(1,2,3-cd)pyrène;;;;;
1453;Acénaphtène;;;;;
1476;Chrysène;;;;;
1524;Phénanthrène;;;;;
1618;Méthyl-2-Naphtalène;;;;;
1623;Fluorène;;;;;
1158;Dibromochloromethane;;;;;
1082;Benzo(a)anthracène;;;;;
1621;Dibenzo(a,h)anthracène;;;;;
7012;2-Hydroxy Ibuprofen;;;;;
2629;Ethynyl estradiol;;;;;
5424;Sotalol;;;;;
6519;Cafeine;;;;;
6522;Erythromycine;;;;;
6540;Ciprofloxacine;;;;;
6720;Tramadol;;;;;
6731;Metronidazole;;;;;
6735;Acide acetylsalicylique;;;;;
6751;1,7-Dimethylxanthine;;;;;
5299;N-Butylbenzenesulfonamide;;;;;
2076;Mésotrione;;;;;
1752;Chlorates;;;;;
1092;Prosulfocarbe;;;;;
1965;asulame;;;;;
1487;Dichloropropène-1,3;;;;;
1133;Chloridazone;;;;;
1139;Cymoxanil;;;;;
1169;Dichlorprop;;;;;
1184;Ethofumésate;;;;;
1288;Triclopyr;;;;;
1403;Diméthomorphe;;;;;
1432;Pyriméthanil;;;;;
1519;Napropamide;;;;;
1662;Sulcotrione;;;;;
1699;Diquat;;;;;
1708;Piclorame;;;;;
1765;Fluroxypyr;;;;;
1816;Fosetyl;;;;;
1940;Thiafluamide;;;;;
1969;mepiquat;;;;;
2008;Flurtamone;;;;;
2017;Clomazone;;;;;
2087;Quinmerac;;;;;
2096;Trinexapac-ethyl;;;;;
2929;Dichlormide;;;;;
2978;Clethodim;;;;;
2986;Imazamox;;;;;
5554;Chlormequat;;;;;
5597;Daminozide;;;;;
5645;Hydrazide maleique;;;;;
6390;Thiamethoxam;;;;;
6393;Flonicamid;;;;;
7522;beflubutamide;;;;;
2546;Dimétachlore;;;;;
1150;Déméton-O;;;;;
2744;Fosthiazate;;;;;
1215;Métamitrone;;;;;
1225;Métribuzine;;;;;
1680;Cyproconazole;;;;;
1879;Metconazole;;;;;
2810;Florasulam;;;;;
1763;Ethidimuron;;;;;
1797;Metsulfuron méthyle;;;;;
1913;Thifensulfuron méthyl;;;;;
2085;Sulfosulfuron;;;;;
2534;Prosulfuron;;;;;
2563;Iodosulfuron methyl sodium;;;;;
2578;mesosulfuron-methyl;;;;;
2806;Foramsulfuron;;;;;
1176;Dinoterbe;;;;;
1185;Fénarimol;;;;;
2011;2,6-Dichlorobenzamide;;;;;
1228;Monuron;;;;;
2051;Terbumeton désethyl;;;;;
1102;Aldicarbe;;;;;
1123;Bromophoséthyl;;;;;
1124;Bromosphosméthyl;;;;;
1134;Chlorméphos;;;;;
1194;flusilazole;;;;;
1213;2,4 MCPB;;;;;
1214;Mécoprop;;;;;
1222;Métoxuron;;;;;
1232;Parathion éthyl;;;;;
1233;Parathion Méthyl;;;;;
1266;Terbuméton;;;;;
1333;Carbétamide;;;;;
1665;Phoxime;;;;;
1669;norflurazone;;;;;
1706;Métalaxyl;;;;;
1810;Clopyralide;;;;;
1824;Fluazifop butyl;;;;;
1975;Fossetyl aluminium;;;;;
2018;Cloquintocet mexyl;;;;;
2022;Fludioxonil;;;;;
2576;Pyroclostrobirie;;;;;
2929;Dichlormide;;;;;
5603;Prothioconazole;;;;;
